Simbolo [simbolo=实, probabilidad=0.0011389521640091116, codigoHuffman=1111110000]
Simbolo [simbolo=现, probabilidad=0.0011389521640091116, codigoHuffman=1111110001]
Simbolo [simbolo=或, probabilidad=0.0011389521640091116, codigoHuffman=1111110110]
Simbolo [simbolo=去, probabilidad=0.0011389521640091116, codigoHuffman=1111110111]
Simbolo [simbolo=嘿, probabilidad=0.0011389521640091116, codigoHuffman=1111110100]
Simbolo [simbolo=神, probabilidad=0.0011389521640091116, codigoHuffman=1111110101]
Simbolo [simbolo=呐, probabilidad=0.0011389521640091116, codigoHuffman=1111001010]
Simbolo [simbolo=喊, probabilidad=0.0011389521640091116, codigoHuffman=1111001011]
Simbolo [simbolo=断, probabilidad=0.0011389521640091116, codigoHuffman=1111001000]
Simbolo [simbolo=链, probabilidad=0.0011389521640091116, codigoHuffman=1111001001]
Simbolo [simbolo=音, probabilidad=0.0011389521640091116, codigoHuffman=1111001110]
Simbolo [simbolo=见, probabilidad=0.0011389521640091116, codigoHuffman=1111001111]
Simbolo [simbolo=高, probabilidad=0.0011389521640091116, codigoHuffman=1111001100]
Simbolo [simbolo=贵, probabilidad=0.0011389521640091116, codigoHuffman=1111001101]
Simbolo [simbolo=平, probabilidad=0.0011389521640091116, codigoHuffman=1111000010]
Simbolo [simbolo=等, probabilidad=0.0011389521640091116, codigoHuffman=1111000011]
Simbolo [simbolo=升, probabilidad=0.0011389521640091116, codigoHuffman=1111000000]
Simbolo [simbolo=球, probabilidad=0.0011389521640091116, codigoHuffman=1111000001]
Simbolo [simbolo=表, probabilidad=0.0011389521640091116, codigoHuffman=1111000110]
Simbolo [simbolo=殿, probabilidad=0.0011389521640091116, codigoHuffman=1111000111]
Simbolo [simbolo=只, probabilidad=0.0011389521640091116, codigoHuffman=1111000100]
Simbolo [simbolo=狮, probabilidad=0.0011389521640091116, codigoHuffman=1111000101]
Simbolo [simbolo=向, probabilidad=0.0011389521640091116, codigoHuffman=1111011010]
