SimboloShannon [simbolo=实, codigoShannon=111111111]
SimboloShannon [simbolo=现, codigoShannon=1111111101]
SimboloShannon [simbolo=或, codigoShannon=1111111100]
SimboloShannon [simbolo=去, codigoShannon=111111101]
SimboloShannon [simbolo=嘿, codigoShannon=1111111001]
SimboloShannon [simbolo=神, codigoShannon=1111111000]
SimboloShannon [simbolo=呐, codigoShannon=111111011]
SimboloShannon [simbolo=喊, codigoShannon=1111110101]
SimboloShannon [simbolo=断, codigoShannon=1111110100]
SimboloShannon [simbolo=链, codigoShannon=1111110011]
SimboloShannon [simbolo=音, codigoShannon=1111110010]
SimboloShannon [simbolo=见, codigoShannon=1111110001]
SimboloShannon [simbolo=高, codigoShannon=1111110000]
SimboloShannon [simbolo=贵, codigoShannon=111110111]
SimboloShannon [simbolo=平, codigoShannon=1111101101]
SimboloShannon [simbolo=等, codigoShannon=1111101100]
SimboloShannon [simbolo=升, codigoShannon=1111101011]
SimboloShannon [simbolo=球, codigoShannon=1111101010]
SimboloShannon [simbolo=表, codigoShannon=1111101001]
SimboloShannon [simbolo=殿, codigoShannon=1111101000]
SimboloShannon [simbolo=只, codigoShannon=111110011]
SimboloShannon [simbolo=狮, codigoShannon=1111100101]
SimboloShannon [simbolo=向, codigoShannon=1111100100]
SimboloShannon [simbolo=植, codigoShannon=1111100011]
SimboloShannon [simbolo=物, codigoShannon=1111100010]
SimboloShannon [simbolo=军, codigoShannon=1111100001]
SimboloShannon [simbolo=孔, codigoShannon=1111100000]
SimboloShannon [simbolo=星, codigoShannon=111101111]
SimboloShannon [simbolo=本, codigoShannon=1111011101]
SimboloShannon [simbolo=身, codigoShannon=1111011100]
SimboloShannon [simbolo=似, codigoShannon=111101101]
SimboloShannon [simbolo=乎, codigoShannon=1111011001]
SimboloShannon [simbolo=欢, codigoShannon=1111011000]
SimboloShannon [simbolo=呼, codigoShannon=111101011]
SimboloShannon [simbolo=她, codigoShannon=1111010101]
SimboloShannon [simbolo=胸, codigoShannon=1111010100]
SimboloShannon [simbolo=筑, codigoShannon=1111010011]
SimboloShannon [simbolo=巢, codigoShannon=1111010010]
SimboloShannon [simbolo=当, codigoShannon=1111010001]
SimboloShannon [simbolo=走, codigoShannon=1111010000]
SimboloShannon [simbolo=时, codigoShannon=111100111]
SimboloShannon [simbolo=候, codigoShannon=1111001101]
SimboloShannon [simbolo=切, codigoShannon=1111001100]
SimboloShannon [simbolo=颤, codigoShannon=1111001011]
SimboloShannon [simbolo=抖, codigoShannon=1111001010]
SimboloShannon [simbolo=印, codigoShannon=1111001001]
SimboloShannon [simbolo=坟, codigoShannon=1111001000]
SimboloShannon [simbolo=墓, codigoShannon=111100011]
SimboloShannon [simbolo=被, codigoShannon=1111000101]
SimboloShannon [simbolo=移, codigoShannon=1111000100]
SimboloShannon [simbolo=动, codigoShannon=1111000011]
SimboloShannon [simbolo=骨, codigoShannon=1111000010]
SimboloShannon [simbolo=头, codigoShannon=1111000001]
SimboloShannon [simbolo=焰, codigoShannon=1111000000]
SimboloShannon [simbolo=孩, codigoShannon=111011111]
SimboloShannon [simbolo=焕, codigoShannon=1110111101]
SimboloShannon [simbolo=然, codigoShannon=1110111100]
SimboloShannon [simbolo=祖, codigoShannon=111011101]
SimboloShannon [simbolo=古, codigoShannon=1110111001]
SimboloShannon [simbolo=辉, codigoShannon=1110111000]
SimboloShannon [simbolo=煌, codigoShannon=111011011]
SimboloShannon [simbolo=山, codigoShannon=1110110101]
SimboloShannon [simbolo=觉, codigoShannon=1110110100]
SimboloShannon [simbolo=可, codigoShannon=1110110011]
SimboloShannon [simbolo=怕, codigoShannon=1110110010]
SimboloShannon [simbolo=咆, codigoShannon=1110110001]
SimboloShannon [simbolo=哮, codigoShannon=1110110000]
SimboloShannon [simbolo=整, codigoShannon=111010111]
SimboloShannon [simbolo=尖, codigoShannon=1110101101]
SimboloShannon [simbolo=叫, codigoShannon=1110101100]
SimboloShannon [simbolo=烦, codigoShannon=1110101011]
SimboloShannon [simbolo=恼, codigoShannon=1110101010]
SimboloShannon [simbolo=仇, codigoShannon=1110101001]
SimboloShannon [simbolo=愤, codigoShannon=1110101000]
SimboloShannon [simbolo=怒, codigoShannon=111010011]
SimboloShannon [simbolo=嫉, codigoShannon=1110100101]
SimboloShannon [simbolo=妒, codigoShannon=1110100100]
SimboloShannon [simbolo=吐, codigoShannon=1110100011]
SimboloShannon [simbolo=臭, codigoShannon=1110100010]
